"Rank","CryptoCurrency","Market Cap.","Price","Circulating Supply","Volume (24h)","Change (24h)","DateTime"
85,"Kusama","$683,963,951","$76.16","8,980,098","$86,085,805","6.68 %",2022-05-30 22:12:02
86,"Dash","$674,259,847","$62.75","10,751,912","$135,166,723","9.52 %",2022-05-30 22:12:02
88,"Chiliz","$647,406,800","$0.12","5,344,064,580","$68,044,385","7.19 %",2022-05-30 22:12:02
89,"Celo","$631,514,525","$1.44","439,191,694","$39,278,796","7.87 %",2022-05-30 22:12:02
90,"Enjin Coin","$623,551,683","$0.67","934,340,660","$83,357,923","10.19 %",2022-05-30 22:12:02
92,"PAX Gold","$618,430,817","$1,853.80","333,601","$13,449,787","-0.07 %",2022-05-30 22:12:02
95,"Amp","$603,902,677","$0.01","48,013,928,909","$5,249,160","6.87 %",2022-05-30 22:12:02
97,"Stacks","$599,401,467","$0.57","1,052,561,462","$11,564,338","8.66 %",2022-05-30 22:12:02
98,"Basic Attention Token","$599,282,456","$0.40","1,498,150,386","$60,541,573","8.27 %",2022-05-30 22:12:02
98,"DxChain Token","$94,790,225","$0.00","0","$156,923","3.37 %",2022-05-30 22:12:02
100,"Harmony","$559,786,574","$0.05","12,082,985,588","$37,728,493","8.77 %",2022-05-30 22:12:02
100,"Aave LINK","$330,885,424","$25.19","0","$11,646,285","3.32 %",2022-05-30 22:12:02
